barcode,desc,acost,adate,cat_type,locname,dept,status
FAD-0003-0002273400001   ,METTLER TOLEDO LABEL PRINTING SCALE                         ,63392.86000,04/18/2024,WEIGHING SCALE                                    ,ASC TALIBON                   ,ASCT-GROCERY SELLING AREA                         ,FAACQ               
FAD-0003-0010187500001   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,13778.57000,07/11/2024,HARD DISK                                         ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500002   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,13778.57000,07/11/2024,HARD DISK                                         ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500003   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,13778.57000,07/11/2024,HARD DISK                                         ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500004   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,13778.57000,07/11/2024,HARD DISK                                         ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500005   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,13778.57000,07/11/2024,HARD DISK                                         ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0010187500006   ,WD 0B36039 ULTRASTAR 3.5IN 26.1MM 6TB 256MB 72KRPM          ,13778.57000,07/11/2024,HARD DISK                                         ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0000521700001   ,FOOD DISPLAY STEAMER (SIOPAO WARMER)                        ,15321.43000,10/24/2024,STEAMER                                           ,ASC TALIBON                   ,ASCT-FOODMIX SECTION                              ,FAACQ               
FAD-0003-0009933800001   ,JTC OMNI BLEND V (2L WITH DIGITAL CONTROLS)                 ,9750       ,10/24/2024,BLENDER                                           ,ASC TALIBON                   ,ASCT-FOODMIX SECTION                              ,FAACQ               
FAD-0003-0010452300001   ,DS-7216HGHI-K1(S) 16CH DVR H.265 PRO+                       ,4600       ,11/07/2024,STORAGE                                           ,ASC TALIBON                   ,ASCT-SSD DEPT. - ADMIN                            ,FAACQ               
FAD-0003-0010452400001   ,SEAGATE SKYHAWK AI 10TB (ST10000VE0008)                     ,16858.04000,11/07/2024,STORAGE                                           ,ASC TALIBON                   ,ASCT-SSD DEPT. - ADMIN                            ,FAACQ               
FAD-0003-0010232100001   ,NICHIYU REACH TRUCK LITHIUM ION BATTERY                     ,405357.1400,01/01/2025,BATTERY                                           ,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0010232100002   ,NICHIYU REACH TRUCK LITHIUM ION BATTERY                     ,405357.1400,01/01/2025,BATTERY                                           ,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0010232200001   ,NICHIYU REACH TRUCK LITHIUM ION BATTERY CHARGER             ,120660.7100,01/01/2025,BATTERY                                           ,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0010232200002   ,NICHIYU REACH TRUCK LITHIUM ION BATTERY CHARGER             ,120660.7100,01/01/2025,BATTERY                                           ,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0010232300001   ,NICHIYU ELECTRIC COUNTER BALANCE LITHIUM ION                ,562500     ,01/01/2025,BATTERY                                           ,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0002273400002   ,METTLER TOLEDO LABEL PRINTING SCALE                         ,62500      ,01/09/2025,WEIGHING SCALE                                    ,ASC TALIBON                   ,ASCT-FRESH MARKET DEPARTMENT                      ,FAACQ               
FAD-0003-0011022800001   ,EPSON TM-H600V THERMAL PRINTER WITH VALIDATION              ,20535.71000,01/09/2025,PRINTER                                           ,ASC TALIBON                   ,ASCT-GRO. CHECK OUT COUNTER                       ,FA_TRAN             
FAD-0003-0011022800002   ,EPSON TM-H600V THERMAL PRINTER WITH VALIDATION              ,20535.71000,01/09/2025,PRINTER                                           ,ASC TALIBON                   ,ASCT-GRO. CHECK OUT COUNTER                       ,FA_TRAN             
FAD-0003-0011022800003   ,EPSON TM-H600V THERMAL PRINTER WITH VALIDATION              ,20535.71000,01/09/2025,PRINTER                                           ,ASC TALIBON                   ,ASCT-FOODMIX SECTION                              ,FA_TRAN             
FAD-0003-0011022800004   ,EPSON TM-H600V THERMAL PRINTER WITH VALIDATION              ,20535.71000,01/09/2025,PRINTER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011022800005   ,EPSON TM-H600V THERMAL PRINTER WITH VALIDATION              ,20535.71000,01/09/2025,PRINTER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011022800006   ,EPSON TM-H600V THERMAL PRINTER WITH VALIDATION              ,20535.71000,01/09/2025,PRINTER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011022800007   ,EPSON TM-H600V THERMAL PRINTER WITH VALIDATION              ,20535.71000,01/09/2025,PRINTER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011022800008   ,EPSON TM-H600V THERMAL PRINTER WITH VALIDATION              ,20535.71000,01/09/2025,PRINTER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011022900001   ,DATALOGIC QW2400 1D HANDHELD SCANNER                        ,3571.43000 ,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FA_TRAN             
FAD-0003-0011022900002   ,DATALOGIC QW2400 1D HANDHELD SCANNER                        ,3571.43000 ,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011022900003   ,DATALOGIC QW2400 1D HANDHELD SCANNER                        ,3571.43000 ,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000001   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,11607.14000,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000002   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,11607.14000,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000003   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,11607.14000,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000004   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,11607.14000,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000005   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,11607.14000,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000006   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,11607.14000,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000007   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,11607.14000,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023000008   ,ZEBRA SP7208 1D/2D VERTICAL SCANNER                         ,11607.14000,01/09/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100001   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,4017.86000 ,01/09/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100002   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,4017.86000 ,01/09/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100003   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,4017.86000 ,01/09/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100004   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,4017.86000 ,01/09/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100005   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,4017.86000 ,01/09/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100006   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,4017.86000 ,01/09/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100007   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,4017.86000 ,01/09/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011023100008   ,APSOFT 78 KEYS PROGRAMMABLE KEYBOARD                        ,4017.86000 ,01/09/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011504600001   ,CONDURA A/C FP53KPV024313 2.5HP                             ,41069.64000,02/14/2025,AIRCON                                            ,ASC TALIBON                   ,ASCT-ENGINEERING DEPARTMENT                       ,FAACQ               
FAD-0003-0011226200001   ,TSURUMI (JAPAN) ALL IRON CONSTRUCTION NON-CLOG              ,71428.57000,03/21/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011226200002   ,TSURUMI (JAPAN) ALL IRON CONSTRUCTION NON-CLOG              ,71428.57000,03/21/2025,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011401200001   ,KARCHER COLD WATER HIGH PRESSURE WASHER HD 5/12 C           ,46400      ,03/25/2025,PRESSURE WASHER                                   ,ASC TALIBON                   ,ASCT-ENGINEERING DEPARTMENT                       ,FAACQ               
FAD-0003-0011505100001   ,MITS. FUSO FIV1P CS#:CS#:HOG159 PL#:GBO-8932                ,2214285.710,06/05/2025,VEHICLE                                           ,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0010761900001   ,ZEBRA CORDLESS SCANNER DS2278-SR7U2100PRW                   ,13865.18000,06/11/2025,SCANNER                                           ,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0006151000002   ,DELL ME5012 STORAGE ARRAY                                   ,957181.4900,07/16/2025,SERVER                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0006247700002   ,RG-CS86-20XS4VS2QXS-D- 20 1G/2.5G/10G BASE-X                ,116059.5600,07/16/2025,SWITCH                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011202600002   ,VIRTUALIZED SERVER POWEREDGE R6615                          ,502182.2900,07/16/2025,SERVER                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0011647100001   ,CARRIER A/C FP53CAC018308 2HP                               ,37409.82000,07/10/2025,AIRCON                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0008762100001   ,MITS FUSO CANTER FE71 CS#:HOG629 PL#:GBO-8933               ,1303571.430,08/07/2025,VEHICLE                                           ,ASC TALIBON                   ,ASCT-TALIBON WAREHOUSE                            ,FAACQ               
FAD-0003-0002273400003   ,METTLER TOLEDO LABEL PRINTING SCALE                         ,62500      ,08/15/2025,WEIGHING SCALE                                    ,ASC TALIBON                   ,ASCT-FRESH MARKET DEPARTMENT                      ,FAACQ               
FAD-0003-0002273400004   ,METTLER TOLEDO LABEL PRINTING SCALE                         ,62500      ,08/15/2025,WEIGHING SCALE                                    ,ASC TALIBON                   ,ASCT-FRESH MARKET DEPARTMENT                      ,FAACQ               
FAD-0003-0002273400005   ,METTLER TOLEDO LABEL PRINTING SCALE                         ,62500      ,08/15/2025,WEIGHING SCALE                                    ,ASC TALIBON                   ,ASCT-FRESH MARKET DEPARTMENT                      ,FAACQ               
FAD-0006-0006752700001   ,FUJIMAC MAC200II AIR PUMP                                   ,34471.14000,09/03/2024,PUMP                                              ,ASC TALIBON                   ,ASCT-ENGINEERING DEPARTMENT                       ,FA_TRAN             
FAD-0006-0006752700002   ,FUJIMAC MAC200II AIR PUMP                                   ,34471.14000,09/03/2024,PUMP                                              ,ASC TALIBON                   ,ASCT-ENGINEERING DEPARTMENT                       ,FA_TRAN             
FAD-0006-0006752700003   ,FUJIMAC MAC200II AIR PUMP                                   ,34471.14000,09/03/2024,PUMP                                              ,ASC TALIBON                   ,ASCT-ENGINEERING DEPARTMENT                       ,FA_TRAN             
FAD-0006-0006752700004   ,FUJIMAC MAC200II AIR PUMP                                   ,34471.14000,09/03/2024,PUMP                                              ,ASC TALIBON                   ,ASCT-ENGINEERING DEPARTMENT                       ,FA_TRAN             
FAD-0003-0012516700001   ,SAMSUNG GALAXY A07 LTE 128GB                                ,5356.25000 ,10/10/2025,CELLPHONE                                         ,ASC TALIBON                   ,ASCT-CUSTOMER FINANCIAL SERVICES                  ,FAACQ               
FAD-0003-0012581000001   ,ANDELI AUTOMATIC VOLTAGE REGULATOR SVC-3000VA               ,6370       ,11/05/2025,AVR                                               ,ASC TALIBON                   ,ASCT-FOODMIX SECTION                              ,FAACQ               
FAD-0003-0007699100001   ,EBARA NON-CLOG SUBMERSIBLE SEWAGE PUMP                      ,33035.71000,11/10/2025,PUMP                                              ,ASC TALIBON                   ,ASCT-ENGINEERING DEPARTMENT                       ,FAACQ               
FAD-0003-0007699100002   ,EBARA NON-CLOG SUBMERSIBLE SEWAGE PUMP                      ,33035.71000,11/10/2025,PUMP                                              ,ASC TALIBON                   ,ASCT-ENGINEERING DEPARTMENT                       ,FAACQ               
FAD-0003-0008679700001   ,RG-S2915-24GT4MS-L                                          ,25000      ,01/20/2026,HUB                                               ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0008679700002   ,RG-S2915-24GT4MS-L                                          ,25000      ,01/20/2026,HUB                                               ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0008679700003   ,RG-S2915-24GT4MS-L                                          ,25000      ,01/20/2026,HUB                                               ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0007930500001   ,360L SIDE-WHEEL GARBAGE BIN GRAY COLOR UGA-CB005            ,4363.39000 ,01/23/2026,TRASH BIN                                         ,ASC TALIBON                   ,ASCT-GENERAL SERVICES DEPARTMENT                  ,FAACQ               
FAD-0003-0012502900001   ,RG-52915-10GT2MS-PL 10PORT GIGABIT LAYER 2+                 ,14589.29000,01/23/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012502900002   ,RG-52915-10GT2MS-PL 10PORT GIGABIT LAYER 2+                 ,14589.29000,01/23/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0002273400006   ,METTLER TOLEDO LABEL PRINTING SCALE                         ,62500      ,01/28/2026,WEIGHING SCALE                                    ,ASC TALIBON                   ,ASCT-BREAD COTTAGE                                ,FAACQ               
FAD-0003-0012638700001   ,SYNOLOGY HAT5310-8T8TB 3.5"" ENTERPRISE-GRADE SATA           ,20982.14000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012638700002   ,SYNOLOGY HAT5310-8T8TB 3.5"" ENTERPRISE-GRADE SATA           ,20982.14000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012638700003   ,SYNOLOGY HAT5310-8T8TB 3.5"" ENTERPRISE-GRADE SATA           ,20982.14000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012638700004   ,SYNOLOGY HAT5310-8T8TB 3.5"" ENTERPRISE-GRADE SATA           ,20982.14000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012638700005   ,SYNOLOGY HAT5310-8T8TB 3.5"" ENTERPRISE-GRADE SATA           ,20982.14000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012638700006   ,SYNOLOGY HAT5310-8T8TB 3.5"" ENTERPRISE-GRADE SATA           ,20982.14000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012638900001   ,SEAGATE EXOS ST6000NM019B-6TB SATA 6GB/S 6000GB             ,19330.36000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012638900002   ,SEAGATE EXOS ST6000NM019B-6TB SATA 6GB/S 6000GB             ,19330.36000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012638900003   ,SEAGATE EXOS ST6000NM019B-6TB SATA 6GB/S 6000GB             ,19330.36000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012638900004   ,SEAGATE EXOS ST6000NM019B-6TB SATA 6GB/S 6000GB             ,19330.36000,04/09/2026,OTHERS                                            ,ASC TALIBON                   ,ASCT-EDP - IT - ADMIN                             ,FAACQ               
FAD-0003-0012989700001   ,EBARA SUBMERSIBLE PUMP MODEL: DWM2006                       ,41071.43000,02/26/2026,PUMP                                              ,ASC TALIBON                   ,ASCT-ENGINEERING DEPARTMENT                       ,FAACQ               
FAD-0003-0011833200001   ,400A 3P 36KA 400V MODEL: A3N400 TMF 400-4000                ,18750      ,06/07/2025,ELECTRICAL PARTS                                  ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700001   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700002   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700003   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700004   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700005   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700006   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700007   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700008   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700009   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700010   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700011   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700012   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700013   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700014   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700015   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700016   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700017   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700018   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700019   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700020   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700021   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700022   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700023   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700024   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700025   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700026   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700027   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700028   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700029   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
FAD-0003-0012851700030   ,VMWARE VSPHERE FOUNDATION 1-YEAR-VCF-VSP-FND-1Y             ,11509.49000,04/27/2026,SOFTWARE                                          ,ASC TALIBON                   ,ASCT-ADMIN                                        ,FAACQ               
